n,r,network_nr,network,gene_tree
40,15,1,"(((#K,(((((t20,(t19,(t40)#L)))#M,(#D,((t24,(t10)#N),(t7,(t15)#D)))),#M),((t18,((t36)#I,(#F,((t32,(t12)#G),(#J,t25))))),(t2,(t30,#H))))),(((((#B,(t26,(t34)#H)),(t11)#B),((t22,t28),(((t33,t23),(t16)#A),(t6)#F))),((t35,((t27,(t29)#C))#K),((t13,(#G,((t17,#O),t31))),(((#E,(t37,(t39)#J)),(#C,t38)),(((#L,((t1,(t8)#O),t14)),t3),(t9,(#I,(#A,t21)))))))),#N)),(t4,(t5)#E))","(((t5,t4),(t5,t4)),((((t35,t27),(((t17,t31),t13),((t9,((t36,t36),(t21,t16))),((t37,t39),(t29,t38))))),(((t2,(t30,t34)),(t18,(((t6,t12),t32),t25))),(t20,((t24,t10),(t15,t7))))),((t26,t11),(((t26,t11),((t33,t23),(t22,t28))),(((t22,t28),(t33,t23)),((t11,t26),(t11,t26)))))))"
40,15,2,"((t38,(((((#O,t11),(#D,t18)),(t14)#A),(#E,(t4,(#L,t29)))),t39)),((t1,(((#K,(t37,t24)),(#A,((t32,((t40,(t12)#L))#C),(t36,(t31)#K)))),(((((((((t6)#I,t21),t28),(((t13)#N,(#B,t34)),(t9)#F)),#M),(#N,((t17,((t35,(t25,t30)))#G),((((t26,(t19)#D),(t22)#E),t7))#M))),(((((#F,(t3,(t23,t20))),(t16)#B),((t2,(t33)#J))#H),#I),(#H,((t8)#O,t15)))),((t10,#J),(#C,t5))),t27))),#G))","((((((t18,t19),(t8,t11)),(t22,(t29,t4))),t38),t39),(((((t10,t5),(t10,t5)),((t15,((t2,t33),(((t23,t20),t3),t9))),((((t35,(t30,t25)),t17),(t7,t26)),(((t28,(t6,t21)),(t6,t21)),(t16,(t13,t34)))))),((t24,t37),(((t40,t12),t32),(t36,t31)))),t1))"
40,15,3,"((#N,(((((t1,t18))#N,(#B,(#J,((t37,(t5)#D),(t36)#A)))),(((t31,(t35)#O),((((((t34)#E,t25),(t15,(t11)#B)),(t13,t4)),(t14,(t7,#O))),(((((t21,((t38,t28))#K),(t26)#H),t23),(((((t30,#D),(#A,(#G,(((t17,(t12)#I),t2),(((t33,((t3,t6))#M),t22),#C))))))#L,(#E,t24)),#K)),(t16,(#M,t40))))),((t29,t10),((#H,(t32,(t9)#F)))#J))),#F)),(#I,((t27,(t20)#G),(#L,(((t19,t39))#C,t8)))))","((t27,((t39,(t19,(t33,t22))),(((t2,(t17,t12)),t30),t20))),(((t10,(t29,t29)),(((t32,t9),(t5,(t37,t36))),t11)),(((((((t7,t35),t14),(t25,t4)),t15),t13),t31),((t24,t34),((t16,((t6,t3),t40)),(t23,((t21,(t38,t28)),t26)))))))"
40,15,4,"((((((t5,t9),t4),((t36,t29),((((t1,(t15)#G),#G),(t34)#C),#J))),((t14,(t8)#O),(#C,t25))),((#K,(((#N,(t19,((t22,t39),#L))),((#A,(((t24,((#F,(t12,(t11)#L)))#I),(t33,(t16)#F)),(t10)#B)))#N),((((#E,t3))#M,t31),#B))),(#D,(t40,(t27)#E)))),(#O,((t2,(t38)#J),(#M,((t7,((((((t23,t30),t28),#I),((((t13,(t6,(t32)#D)))#H,(t21,t37)))#K),((t26,t18),(t17)#A)),t20)),(t35,#H))))))","((((t38,t2),(((t35,t20),(t28,(t30,t23))),(t18,t26))),t8),(((((t29,t36),(t15,t1)),((t5,t9),t4)),((t34,t25),t14)),((t32,(t27,t40)),(((t27,t40),t32),(((t37,t21),(t6,t13)),((t31,t3),(t19,((t11,(t22,t39)),(((t33,t16),t12),(t10,t17))))))))))"
40,15,5,"((t39,(((((((t5)#C,(t40,#I)),(t34,(t12)#N)),(#A,((((((t28)#O,t16),(t17)#F),((#H,t1))#D),t2),(#J,(t25,(#C,(#F,t8))))))),t37),(#L,t11)),(((#M,((t9,(#D,((((t38,(t15)#A),(#B,(((((t22)#K,t20),t31))#M,(t33,#K)))),((t14,(t29,(#E,((t7,(t10,(t24)#I)),t36)))))#J),t27))),((t6,t13),(((t30,(t26)#E),(((t4,(t3,(t18)#B)),(#O,t21)))#H),((t35,(t19)#L),t32))))),#N))#G)),(#G,t23))","((t23,t23),(t39,(((t6,t13),((((t4,t30),t3),(t28,t21)),((t19,t35),t32))),((t31,t20),((t37,(((t15,((t29,t14),(t36,((t24,t10),t7)))),(t25,(t8,t17))),(t2,((t12,t34),(t40,t5))))),(t27,(t1,(t9,((t18,(t22,t33)),(t38,t38))))))))))"
40,15,6,"((t38,(t23)#F),((((t11,t1),(t9)#G),(t26,(t12)#B)),((((t24,(t40)#K),(((((t16,(#C,(#D,(t2,(#F,t19))))),t10))#N,(#G,(t25,(t36,(t22,#O))))),(t5,(t31,(#K,t6))))),t4),(#E,((((#M,((t8,(((t15)#O,t7))#D),(t14)#E)),#N),(#J,(((t20,t30),(t21)#C),((#A,((t18,(t35)#L),t33)))#H))),((#L,((((t37,t32),((((t27,(t17)#M))#I,(#B,(t29,t28))))#J),#H),((t39,(t34,(t3)#A)),t13))),#I))))))","((t38,t23),((((t1,t11),t9),t26),((((t24,t40),(((t10,t2),(t16,(t7,t15))),(t25,(t22,t36)))),t4),((((t20,t30),t21),(t17,(t8,t14))),(t27,(((t39,(t34,t3)),t13),(((t37,t32),(t37,t32)),((t35,(((t28,t29),t12),(t12,(t28,t29)))),t33))))))))"
40,15,7,"((#L,(#D,((#H,(t35,((t6,(t39)#J))#F)),(((t3,(((#O,((t8,(t25)#B),(t23)#K)),((t21,t33))#D),((t18,t15),#N))),(((#J,(t38,(t24)#G)),t2),t36)),(((t11,t40),(#E,t28)),((((t34,t5),(t27,(#B,t4))),((t12,t17))#N),(t14,(t30)#I))))))),((((#M,((#K,(t32,t26)),((t37,(t13)#C),((t10,(t16)#L))#E))),(#C,t7)),(((((t22)#M,(#I,(t1,(#A,(((t9,(t20)#A),(t31)#O),t19))))),t29),#F))#H),#G))","((t24,(((((t26,t32),t37),t13),t7),(((t1,((t20,(t31,t9)),t19)),t22),(t29,(t6,t39))))),(((t35,(t14,(t30,t30))),((((t27,t4),(t5,t34)),((t11,t40),((t10,t16),t28))),((t36,t38),(t3,((t23,(t8,t25)),((t12,t17),(t15,t18))))))),(t21,t33)))"
40,15,8,"((((((t23)#H,t7),t13),((t9)#J,t36)),(t17)#L),(#A,(((((#M,t37),((t10,(#I,t21)))#A),t5),(#H,(#C,(#N,((#B,t30),(((t14,#G),(((t6,t38),(((#D,(((#L,t3),((((t27,t19))#N,t1))#B),(t25,t33))),((((((t28)#O,t39))#K,(t35,(t29,(t4)#I))),t32))#D),(((t22,t2),t15),t16))),#E)),(#F,((((((t18,t8),(t31)#G),(#J,t11)))#E,t40),(t24)#M)))))))),((t26,((t20,(t12)#C),((#O,t34))#F)),#K))))","((t17,(t13,(t23,t7))),((t26,((t20,t12),(t28,t34))),(((t21,t10),t4),((t37,t5),((t30,t1),((t27,t19),(t27,t19)))))))"
40,15,9,"((((((t14,t38),((t7,(#E,((t21,t9),#G))))#C),(((((t29,t16),((t28,t6),t32)),(t40,(t8,(#J,(t11,(t22)#H))))),#I),(#B,(#N,(t30,t34))))),(((t26,(((t36,(t25)#A),(t2)#G),(t4)#D)),(#C,(((((t23,t24),(t13)#J))#N,t5),((#K,((t39)#K,t20)))#F))),((t18)#O,((t1,(#H,t17)),(t3)#L)))),(#F,(((t27,t37),(t15)#M),(t33)#I))),(t19,(#O,(#A,(((#L,((t35)#E,(#D,(#M,t31)))),(t12)#B),t10)))))","(((((t4,t31),(t12,t10)),t3),(t18,t19)),((((t17,(t22,t1)),((((t7,(t2,t9)),t35),t5),((t25,t36),t26))),((t15,(t27,t37)),(t15,(t37,t27)))),(t8,((t30,t34),((t32,(t28,t6)),(((t16,t29),t40),(((t40,t8),(t11,t11)),((t33,t33),(((t24,t23),t13),(t14,t38))))))))))"
40,15,10,"((((((t40,(#H,(t36,(t19)#M))),t15),(#J,(t21,((t28,((#N,((t11,t37),t25)))#K),((t18,t4))#H)))),(t23)#B),(#C,(#G,((#F,(t13,((((((t39,((t3,(t26)#J),(#A,(t9,(((t17,(t35)#G),t29))#A)))),((#I,(t5,((((t33)#O,(#L,((t20,(t14,t32)),t2))),(t16,(#M,(t24,((t34,(t31)#N))#L)))),(#O,((t1,(t8)#I),t27))))))#E),(t7)#D),(((#K,t38),(t22)#C),(t10,t30))),#D))#F)),#E)))),(t12,(#B,t6)))","((t12,t6),(((t22,(((((t15,t40),(t40,t15)),(t4,t18)),((t21,t28),t26)),t23)),((((((t9,(t29,(t17,t35))),t3),t39),(t5,(((((t2,((t14,t32),t20)),t33),(((t31,t34),t24),t16)),(t27,(t8,t1))),t7))),(t7,((((t16,(((t8,t8),t1),t27)),(t33,(t2,((t32,t14),t20)))),((t3,((t29,(t35,t17)),t9)),t39)),t5))),((t30,t10),(((t37,t11),t25),t38)))),t13))"
